User,Tweets Ago,Date,Text,Compound,Positive,Negative,Neutral
BBCBreaking,100,Fri Aug 31 09:15:51 +0000 2018,London’s new Crossrail underground line will not open until autumn 2019 - nine months after its scheduled launch https://t.co/ngGSraTbFT,0.0,0.0,0.0,1.0
BBCBreaking,99,Fri Aug 31 14:16:56 +0000 2018,Naa'imur Zakariyah Rahman jailed for life with minimum term of 30 years for plot to kill UK PM in Downing Street https://t.co/EfFMkw3ZjF,-0.836,0.0,0.283,0.717
BBCBreaking,98,Fri Aug 31 15:53:33 +0000 2018,"Leader of pro-Russian self-declared Donetsk republic in eastern Ukraine killed in cafe blast, his government says https://t.co/aNFtUbsJhI",-0.6705,0.0,0.22,0.78
BBCBreaking,97,Fri Aug 31 19:54:02 +0000 2018,"US-Canada trade talks break up without deal but negotiations will continue next week, US official confirms https://t.co/rb1dDmFCam",0.0,0.0,0.0,1.0
BBCBreaking,96,Fri Aug 31 20:16:13 +0000 2018,"The United States is ending all funding for the UN's Palestinian refugee agency, the State Department says https://t.co/V2RJe5Mtft",0.4215,0.141,0.0,0.859
BBCBreaking,95,Fri Aug 31 21:55:30 +0000 2018,"Janbaz Tarin, 21, charged with murders of Raneem Oudeh and her mother Khaola Saleem in Solihull https://t.co/rKisbSWW2S",-0.7003,0.0,0.279,0.721
BBCBreaking,94,Sun Sep 02 21:45:33 +0000 2018,"Up in flames - dramatic images of fire at the Littlewoods Pools building, one of Liverpool's most famous landmarks https://t.co/sXBSryMSmE",-0.34,0.0,0.118,0.882
BBCBreaking,93,Mon Sep 03 00:43:10 +0000 2018,"One of Latin America's largest natural history museums, in Brazil's Rio de Janeiro, has been hit by a massive fire https://t.co/hXegQI4Lsk",0.0258,0.109,0.105,0.786
BBCBreaking,92,Mon Sep 03 04:08:27 +0000 2018,Myanmar jails two Reuters journalists for seven years over their investigation into violence against Rohingyas https://t.co/csKrk4XPxD,-0.6249,0.0,0.215,0.785
BBCBreaking,91,Mon Sep 03 07:14:50 +0000 2018,Chris Evans reveals live on air he is to leave Radio 2 breakfast show after eight years at the helm https://t.co/xgzFkesyme,-0.0516,0.0,0.059,0.941
BBCBreaking,90,Mon Sep 03 12:16:16 +0000 2018,"2018 was joint-hottest summer on record for UK as a whole and the hottest for England, Met Office says https://t.co/dbKp5lDVPR",0.0,0.0,0.0,1.0
BBCBreaking,89,Tue Sep 04 04:05:29 +0000 2018,"Founder of Afghan militant network Jalaluddin Haqqani is dead after years of illness, the Taliban announces https://t.co/WL9DGkEoDd",-0.7906,0.0,0.318,0.682
BBCBreaking,88,Tue Sep 04 16:23:45 +0000 2018,UK Labour’s ruling body the NEC to adopt in full an international definition of anti-Semitism after months of rows https://t.co/crqNidbgLk,0.1779,0.082,0.0,0.918
BBCBreaking,87,Wed Sep 05 10:01:06 +0000 2018,"Rachael Bland, BBC presenter who won praise for her honest portrayal of cancer in her blog and podcast, dies aged 4… https://t.co/90T6zvn51D",0.7351,0.321,0.133,0.545
BBCBreaking,86,Wed Sep 05 10:09:08 +0000 2018,"UK police name two Russian nationals saying there is ""sufficient evidence"" to charge them over Salisbury attack https://t.co/SXGLXtBgPY",-0.4767,0.0,0.154,0.846
